Method,Similarity_measure,Number_of_neighbors,Train_percentage,Test_percentage,Error_measure,Error_value,Time
User_based,pearson_correlation,25,30,20,Zero-one,0.21574936047891558,184.08511757850647
User_based,pearson_correlation,50,30,20,RMSE,1.0455946178661244,302.98653745651245
User_based,pearson_correlation,50,30,20,MAE,0.6911160095028965,302.98653745651245
User_based,pearson_correlation,50,30,20,Zero-one,0.20659827527097233,302.98653745651245
User_based,pearson_correlation,100,30,20,RMSE,0.8876016862881324,539.7521891593933
User_based,pearson_correlation,100,30,20,MAE,0.6162179873157592,539.7521891593933
User_based,pearson_correlation,100,30,20,Zero-one,0.18829610485508583,539.7521891593933
User_based,cosine_similarity,10,30,20,RMSE,2.064673414603228,101.8326485157013
User_based,cosine_similarity,10,30,20,MAE,1.489000086243344,101.8326485157013
User_based,cosine_similarity,10,30,20,Zero-one,0.22468946965901,101.8326485157013
User_based,cosine_similarity,25,30,20,RMSE,1.7186754699645925,172.11671924591064
User_based,cosine_similarity,25,30,20,MAE,1.2104307642229333,172.11671924591064
User_based,cosine_similarity,25,30,20,Zero-one,0.2419103879321712,172.11671924591064
User_based,cosine_similarity,50,30,20,RMSE,1.4763073369611788,291.625022649765
User_based,cosine_similarity,50,30,20,MAE,1.0414309047431989,291.625022649765
User_based,cosine_similarity,50,30,20,Zero-one,0.24821329676415518,291.625022649765
User_based,cosine_similarity,100,30,20,RMSE,1.2907389010685555,535.5760877132416
User_based,cosine_similarity,100,30,20,MAE,0.925913676871387,535.5760877132416
User_based,cosine_similarity,100,30,20,Zero-one,0.24328173211318863,535.5760877132416
User_based,mean_squared_difference,10,30,20,RMSE,2.090160332337244,98.41236710548401
User_based,mean_squared_difference,10,30,20,MAE,1.4438632613487545,98.41236710548401
User_based,mean_squared_difference,10,30,20,Zero-one,0.18956196102217884,98.41236710548401
User_based,mean_squared_difference,25,30,20,RMSE,1.6067341839845086,170.66346216201782
User_based,mean_squared_difference,25,30,20,MAE,1.0425559431660403,170.66346216201782
User_based,mean_squared_difference,25,30,20,Zero-one,0.19652416994119043,170.66346216201782
User_based,mean_squared_difference,50,30,20,RMSE,1.2993466231207185,287.95963048934937
User_based,mean_squared_difference,50,30,20,MAE,0.8340961411722628,287.95963048934937
User_based,mean_squared_difference,50,30,20,Zero-one,0.18705662069147394,287.95963048934937
User_based,mean_squared_difference,100,30,20,RMSE,1.082605878206429,523.9428923130035
User_based,mean_squared_difference,100,30,20,MAE,0.7147544018192896,523.9428923130035
User_based,mean_squared_difference,100,30,20,Zero-one,0.1774044674173897,523.9428923130035
User_based,mean_absolute_difference,10,30,20,RMSE,2.0625315889914604,97.06311273574829
User_based,mean_absolute_difference,10,30,20,MAE,1.4185088792536713,97.06311273574829
User_based,mean_absolute_difference,10,30,20,Zero-one,0.18829610485508583,97.06311273574829
User_based,mean_absolute_difference,25,30,20,RMSE,1.5844740623892264,169.8960566520691
User_based,mean_absolute_difference,25,30,20,MAE,1.0298770518238836,169.8960566520691
User_based,mean_absolute_difference,25,30,20,Zero-one,0.1962077058994172,169.8960566520691
User_based,mean_absolute_difference,50,30,20,RMSE,1.2945590546718215,286.80453729629517
User_based,mean_absolute_difference,50,30,20,MAE,0.8379236676808216,286.80453729629517
User_based,mean_absolute_difference,50,30,20,Zero-one,0.19014214509876315,286.80453729629517
User_based,mean_absolute_difference,100,30,20,RMSE,1.087610970971995,528.6384811401367
User_based,mean_absolute_difference,100,30,20,MAE,0.7211496979042376,528.6384811401367
